customer_id,gender,age,tenure_months,contract,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,churn
100001,Male,43.0,26,Two year,DSL,Electronic check,No,98.19,2593.62,No
100002,Female,37.0,50,Month-to-month,Fiber optic,Credit card,Yes,107.53,5431.64,No
100003,Female,18.0,21,Month-to-month,Fiber optic,Mailed check,Yes,69.39,1514.6,Yes
100004,Male,39.0,61,One year,Fiber optic,Electronic check,Yes,118.15,7207.58,Yes
100005,Male,25.0,67,Month-to-month,Fiber optic,Electronic check,Yes,99.42,6509.81,No
100006,Female,18.0,12,Month-to-month,Fiber optic,Electronic check,Yes,89.08,1006.06,Yes
100007,Male,41.0,19,One year,Fiber optic,Mailed check,No,105.55,2076.96,Yes
100008,Female,45.0,6,One year,Fiber optic,Mailed check,Yes,99.46,649.5,Yes
100009,Male,46.0,52,One year,DSL,Credit card,Yes,75.84,3926.07,No
100010,Male,46.0,64,Two year,Fiber optic,Electronic check,Yes,78.0,4942.67,No
100011,Female,18.0,44,Month-to-month,No,Electronic check,Yes,69.32,3065.73,Yes
100012,Female,21.0,10,Month-to-month,Fiber optic,Electronic check,Yes,43.8,407.12,No
100013,Female,65.0,13,Two year,No,Electronic check,Yes,51.98,668.58,Yes
100014,Female,25.0,3,Month-to-month,DSL,Bank transfer,Yes,117.0,362.9,No
100015,Female,47.0,36,Month-to-month,Fiber optic,Credit card,No,63.31,2209.21,No
100016,Female,30.0,52,Month-to-month,Fiber optic,Bank transfer,Yes,37.73,2033.96,No
100017,Female,40.0,11,Month-to-month,Fiber optic,Electronic check,Yes,106.6,1157.78,Yes
100018,Male,31.0,62,Month-to-month,Fiber optic,Credit card,Yes,90.22,5637.52,No
100019,Female,46.0,19,Month-to-month,DSL,Credit card,No,79.62,1518.49,No
100020,Male,41.0,38,One year,Fiber optic,Electronic check,No,80.06,3181.08,No
100021,Female,33.0,49,One year,Fiber optic,Credit card,Yes,106.77,5280.59,No
